family,condition,noise_level,missing_rate,available_modalities,static_mse,static_rmse,static_mae,temporal_mse,temporal_rmse,temporal_mae,winner,temporal_improvement_percent
noise,noise_0,0.0,0.0,ABC,0.25488917861233984,0.5048655054688722,0.40099753699971197,0.2579362057615371,0.507874202693479,0.39380772173072043,STATIC,-1.181310370989264
noise,noise_5,0.05,0.0,ABC,0.25673774036682945,0.5066929448559842,0.4024542538768524,0.25861754276940774,0.5085445337130345,0.394368624804126,STATIC,-0.7268657734693529
noise,noise_10,0.1,0.0,ABC,0.26200297780958665,0.5118622644907385,0.4065362805850853,0.2607551186334335,0.5106418692522514,0.3961208255380095,TEMPORAL,0.4762767150914063
noise,noise_20,0.2,0.0,ABC,0.2807454533401972,0.5298541812047888,0.4205932233201738,0.26897418379078014,0.5186272108082839,0.40300970311376944,TEMPORAL,4.1928620425966585
missingness,missing_0,0.0,0.0,ABC,0.25488917861233984,0.5048655054688722,0.40099753699971197,0.2579362057615371,0.507874202693479,0.39380772173072043,STATIC,-1.181310370989264
missingness,missing_10,0.0,0.1,ABC,0.29313031995758154,0.5414151087267343,0.4252792168986106,0.25889541716295794,0.5088176659304962,0.39474630267128574,TEMPORAL,11.679072570717926
missingness,missing_30,0.0,0.3,ABC,0.3923990992767525,0.6264176715872186,0.48610180007570714,0.27015853492172964,0.5197677701836942,0.40374647703385286,TEMPORAL,31.15210115933743
missingness,missing_50,0.0,0.5,ABC,0.5303402475130935,0.7282446343867516,0.5656868679511775,0.30298284558057986,0.5504387755060319,0.4284750992252241,TEMPORAL,42.87010141105696
modalities,modalities_ABC,0.0,0.0,ABC,0.25488917861233984,0.5048655054688722,0.40099753699971197,0.2579362057615371,0.507874202693479,0.39380772173072043,STATIC,-1.181310370989264
modalities,modalities_AB,0.0,0.0,AB,0.3361544909736095,0.5797883156580593,0.4558307992337461,0.31680693687208006,0.5628560534204816,0.43493057991594264,TEMPORAL,5.755554252895095
modalities,modalities_AC,0.0,0.0,AC,0.37518335908515266,0.6125221294656649,0.478471175551354,0.3168407185356286,0.5628860617706115,0.4386937458793786,TEMPORAL,15.550433977612114
modalities,modalities_BC,0.0,0.0,BC,0.7046631294971751,0.8394421537528212,0.6556875380682659,0.3498389086827356,0.5914718156283828,0.45954235173029767,TEMPORAL,50.353737262744346
modalities,modalities_A,0.0,0.0,A,0.7541396344818885,0.868412134001989,0.6614859386065396,0.5126507899701928,0.7159963617017846,0.5550986017633287,TEMPORAL,32.02176804798281
modalities,modalities_B,0.0,0.0,B,0.79218086736851,0.8900454299464213,0.7008953515757124,0.5063528140458523,0.7115847202166811,0.553653356770503,TEMPORAL,36.0811608934876
modalities,modalities_C,0.0,0.0,C,0.8983689808373764,0.9478232856589758,0.7414768819100922,0.5310495317685873,0.7287314538076336,0.5585345505434266,TEMPORAL,40.887369989823995
