model,family,condition,noise_level,missing_rate,available_modalities,current_mse,current_rmse,current_mae,forecast_mse,forecast_rmse,forecast_mae,h1_mse,h1_rmse,h1_mae,h5_mse,h5_rmse,h5_mae,h10_mse,h10_rmse,h10_mae
clean_trained,noise,noise_0,0.0,0.0,ABC,0.2261774442386611,0.4755811647223438,0.365715742235395,0.39846700607154434,0.6312424305063343,0.4720049008694649,0.2184452319455675,0.4673812490307752,0.3609408502757761,0.3590766651521938,0.5992300602875275,0.45826858652115837,0.6178791235941993,0.7860528758259201,0.5968052574504799
robust_trained,noise,noise_0,0.0,0.0,ABC,0.2579362057615371,0.507874202693479,0.39380772173072043,0.4416842525264336,0.6645932985867625,0.5040965024209545,0.25315708211366245,0.50314717738815,0.3919920372087984,0.4301794893963777,0.6558806975330024,0.5038847009667523,0.641716190094918,0.8010719007023764,0.6164127664035415
clean_trained,noise,noise_5,0.05,0.0,ABC,0.23146499600241918,0.4811080918072561,0.37043619894888646,0.40594323996781456,0.6371367513868703,0.47713871976999833,0.22403120928925144,0.47331935232911343,0.36609058108524123,0.3675610229760565,0.606268111462294,0.46417277121451145,0.6262374923863469,0.7913516869169781,0.6011528078360181
robust_trained,noise,noise_5,0.05,0.0,ABC,0.25861754276940774,0.5085445337130345,0.394368624804126,0.4424537141635309,0.6651719433075413,0.5046629901475034,0.25395078264556115,0.5039352960902432,0.3926495015534495,0.4310938523962033,0.6565773773107045,0.504520224241079,0.6423164998104018,0.8014465046466931,0.6168192407255465
clean_trained,noise,noise_10,0.1,0.0,ABC,0.24398391277197753,0.4939472773201382,0.3813568643730908,0.42151594165750605,0.649242590760577,0.4877271150541357,0.2369223681533274,0.48674671868778674,0.3775193870488952,0.3848085605951003,0.6203293968490453,0.47597695350485686,0.642816893953207,0.8017586257429395,0.6096850098729759
robust_trained,noise,noise_10,0.1,0.0,ABC,0.2607551186334335,0.5106418692522514,0.3961208255380095,0.44490309286630975,0.6670105642838873,0.5064985477906202,0.25635024815389557,0.5063104266691488,0.3947550691075279,0.4340647545744678,0.6588359086862736,0.5066714361414336,0.6442942735996824,0.8026794338960495,0.6180691358520157
clean_trained,noise,noise_20,0.2,0.0,ABC,0.2808852234351218,0.5299860596611214,0.41089300183057986,0.46342307810033684,0.6807518476657531,0.5150314287529419,0.2746194379042998,0.5240414467428124,0.4082317309070718,0.4319984650478818,0.6572659013275235,0.5060936579259946,0.6836513288715014,0.8268321044030048,0.6307688986644232
robust_trained,noise,noise_20,0.2,0.0,ABC,0.26897418379078014,0.5186272108082839,0.40300970311376944,0.4535735544133424,0.6734786963322169,0.512842676326262,0.2654496260639296,0.5152180374015739,0.4023257340486534,0.4441958442170588,0.6664801904160834,0.5138260333098152,0.6510751908945993,0.8068923043966891,0.6223762612074296
clean_trained,missingness,missing_0,0.0,0.0,ABC,0.2261774442386611,0.4755811647223438,0.365715742235395,0.39846700607154434,0.6312424305063343,0.4720049008694649,0.2184452319455675,0.4673812490307752,0.3609408502757761,0.3590766651521938,0.5992300602875275,0.45826858652115837,0.6178791235941993,0.7860528758259201,0.5968052574504799
robust_trained,missingness,missing_0,0.0,0.0,ABC,0.2579362057615371,0.507874202693479,0.39380772173072043,0.4416842525264336,0.6645932985867625,0.5040965024209545,0.25315708211366245,0.50314717738815,0.3919920372087984,0.4301794893963777,0.6558806975330024,0.5038847009667523,0.641716190094918,0.8010719007023764,0.6164127664035415
