condition,target,noise_level,missing_rate,available_modalities,mse,rmse,coverage_95,mean_interval_width_95,mean_predictive_std
clean_ABC,current,0.0,0.0,ABC,0.2577136218082112,0.5076550224396595,0.15636394385252833,0.1875527145873466,0.049605257113976224
clean_ABC,h1,0.0,0.0,ABC,0.25300733685312027,0.5029983467697685,0.15125401657365128,0.18103552506213139,0.04788323539012623
clean_ABC,h5,0.0,0.0,ABC,0.4300532371486159,0.6557844441191144,0.10813546423135464,0.1654781983206362,0.043781489155003406
clean_ABC,h10,0.0,0.0,ABC,0.6414364304551412,0.8008972658557034,0.07750718755284966,0.1481127915236423,0.03919640375760209
missing_30,current,0.0,0.3,ABC,0.2698807705628092,0.5195005010226739,0.1578631828175207,0.19575295184925892,0.0517740785033292
missing_30,h1,0.0,0.3,ABC,0.277363365272691,0.5266529837309298,0.14983341789277863,0.18915073110269812,0.05003167931569443
missing_30,h5,0.0,0.3,ABC,0.4632015834829639,0.6805891444057596,0.1067453069507864,0.1731624726750777,0.04581654755572831
missing_30,h10,0.0,0.3,ABC,0.6563880251273677,0.8101777737801548,0.07799847792998478,0.1545649873813195,0.04090790231034737
missing_50,current,0.0,0.5,ABC,0.30393021752421834,0.5512986645405722,0.1569194994080839,0.20888200996975678,0.05525573315000284
missing_50,h1,0.0,0.5,ABC,0.3208013704410568,0.5663933001378607,0.146697953661424,0.20213204879154312,0.053469552437343436
missing_50,h5,0.0,0.5,ABC,0.5050634536472206,0.7106781646056256,0.10687891087434466,0.18514305626985164,0.04899351417080876
missing_50,h10,0.0,0.5,ABC,0.6782122568420482,0.8235364332208067,0.07975985117537629,0.16499836475740687,0.04366856766456721
modalities_AB,current,0.0,0.0,AB,0.3163369592530825,0.5624384048525514,0.16677574835109082,0.22120878160574423,0.058511345907050344
modalities_AB,h1,0.0,0.0,AB,0.3027817867130026,0.5502561101096494,0.16220700152207002,0.213383304641752,0.05644416663280986
modalities_AB,h5,0.0,0.0,AB,0.45737512225611204,0.6762951443387066,0.12265854895991882,0.19474722010823609,0.0515237498497088
modalities_AB,h10,0.0,0.0,AB,0.6647932269701029,0.8153485309793003,0.08949348892271267,0.17431361775984522,0.046136359336229824
modalities_A,current,0.0,0.0,A,0.5111365528516352,0.7149381461718456,0.17910789785219008,0.31259205645763305,0.08272567712895745
modalities_A,h1,0.0,0.0,A,0.5129244797447098,0.7161874613149198,0.16966937256891595,0.2997128249964657,0.07932128083054717
modalities_A,h5,0.0,0.0,A,0.6469718279968396,0.8043455899032701,0.14017165567393877,0.27147827416814646,0.071867497826558
modalities_A,h10,0.0,0.0,A,0.7721798363873826,0.8787376379713018,0.11607728733299509,0.24732515796678795,0.06551414697480326
modalities_C,current,0.0,0.0,C,0.529165350586433,0.7274375234935526,0.20618298663960766,0.35998686748048525,0.09528999324742457
modalities_C,h1,0.0,0.0,C,0.5207056081079295,0.7215993404292507,0.2017182479282936,0.3499080994075554,0.09263644252798389
modalities_C,h5,0.0,0.0,C,0.667217384827393,0.8168337559304176,0.1600143751056993,0.31615141144908465,0.0837429905824808
modalities_C,h10,0.0,0.0,C,0.8132868272899755,0.9018241665036347,0.1256341958396753,0.2756583776527223,0.07303509159175228
